vendor_id,category,country,years_as_vendor,num_orders_completed,avg_order_value_usd,on_time_delivery_rate,defect_rejection_rate,lead_time_variance_days,price_competitiveness,payment_terms_compliance,rfq_response_time_hours,communication_responsiveness_score,price_volatility_across_quotes,dispute_frequency_per_year,has_iso_certification,reliability_score,risk_tier
V0366,Drilling Tools,Italy,3.0,14,11400.0,0.183,0.225,11.5,1.37,0.123,42.5,1.9,0.184,4.74,0,4.3,High Risk
V0367,Safety Equipment (PPE),United States,0.4,1,9500.0,0.307,0.178,11.5,1.011,0.4,38.8,27.2,0.16,3.5,1,37.0,Watchlist
V0368,Electrical Equipment,United Kingdom,0.3,2,2400.0,0.216,0.166,13.9,1.237,0.261,54.8,23.8,0.105,3.91,0,29.8,High Risk
V0369,Valves & Actuators,Nigeria,1.3,9,4800.0,0.691,0.102,6.8,1.003,0.298,29.6,77.7,0.156,2.79,0,59.3,Approved
V0370,Rotating Equipment Spares,China,5.8,55,31700.0,0.445,0.162,5.5,1.076,0.516,27.7,61.6,0.089,2.51,1,52.4,Watchlist
V0371,Electrical Equipment,China,4.2,40,2000.0,0.479,0.164,9.0,1.027,0.461,26.3,21.8,0.111,1.56,0,41.6,Watchlist
V0372,Industrial Chemicals,UAE,6.2,32,6700.0,0.714,0.028,2.3,1.096,0.612,17.8,84.2,0.092,0.0,1,78.2,Preferred
V0373,Safety Equipment (PPE),UAE,2.2,23,9300.0,0.636,0.072,2.3,0.88,0.579,10.1,54.1,0.111,2.26,1,69.9,Approved
V0374,Electrical Equipment,Singapore,7.6,50,64200.0,0.5,0.144,0.6,0.837,0.461,18.2,40.7,0.02,1.31,1,62.1,Approved
V0375,Structural Steel,UAE,1.1,15,26700.0,0.707,0.095,0.8,0.884,0.693,44.3,64.8,0.09,3.39,1,69.3,Approved
V0376,Valves & Actuators,United States,1.6,15,8100.0,0.886,0.04,1.8,0.984,0.64,22.0,62.6,0.132,0.59,1,83.5,Preferred
V0377,Rotating Equipment Spares,India,6.6,41,43200.0,0.086,0.246,9.8,1.072,0.144,57.4,25.2,0.196,5.69,0,0.0,High Risk
V0378,Rotating Equipment Spares,South Korea,4.0,25,6900.0,0.397,0.153,7.9,1.125,0.478,3.5,46.8,0.125,1.86,0,49.5,Watchlist
V0379,Electrical Equipment,India,5.1,38,33100.0,0.081,0.239,10.0,1.305,0.076,56.4,9.7,0.226,5.2,1,0.0,High Risk
V0380,Instrumentation,Singapore,4.4,42,3900.0,0.446,0.137,0.2,0.852,0.369,27.7,68.1,0.112,3.09,0,54.2,Watchlist
V0381,Valves & Actuators,India,2.3,10,35100.0,0.694,0.112,3.4,0.89,0.196,24.3,70.5,0.069,0.68,1,66.0,Approved
V0382,Subsea Hardware,Germany,1.6,13,9300.0,0.718,0.036,1.5,0.732,0.798,22.8,85.5,0.071,0.01,1,84.5,Preferred
V0383,Subsea Hardware,China,1.0,7,5300.0,0.769,0.108,0.7,1.245,0.585,13.4,92.0,0.116,0.0,1,77.7,Preferred
V0384,Instrumentation,India,11.7,68,11000.0,0.355,0.146,9.1,1.036,0.575,2.7,67.0,0.058,0.27,0,50.6,Watchlist
V0385,Valves & Actuators,United States,0.5,9,17100.0,0.266,0.19,6.1,1.097,0.448,45.6,39.7,0.124,2.75,0,29.4,High Risk
V0386,Pipes & Fittings,Nigeria,9.6,35,8600.0,0.423,0.107,6.6,0.775,0.707,28.5,82.1,0.029,0.89,1,63.6,Approved
V0387,Valves & Actuators,UAE,3.8,24,22000.0,0.42,0.13,7.6,1.026,0.222,31.0,34.2,0.191,2.23,0,51.0,Watchlist
V0388,Structural Steel,Singapore,4.5,26,7900.0,0.808,0.171,5.9,1.076,0.494,18.4,50.6,0.115,2.1,1,59.5,Approved
V0389,Structural Steel,Singapore,4.7,25,23300.0,0.735,0.036,0.8,0.913,0.881,3.5,92.1,0.033,0.0,0,86.1,Preferred
V0390,Pipes & Fittings,United Kingdom,5.2,33,19900.0,0.18,0.177,7.6,1.189,0.652,37.7,66.5,0.15,3.37,0,36.8,Watchlist
V0391,Rotating Equipment Spares,India,2.2,13,12600.0,0.807,0.029,1.5,1.306,0.806,42.1,70.7,0.024,0.4,0,80.6,Preferred
V0392,Pipes & Fittings,India,0.6,8,9000.0,0.613,0.027,4.3,0.824,0.708,26.3,59.4,0.038,1.33,1,78.8,Preferred
V0393,Electrical Equipment,United Kingdom,1.9,20,15300.0,0.378,0.202,8.5,0.894,0.182,22.0,53.0,0.09,3.21,0,31.1,High Risk
V0394,Drilling Tools,China,5.5,36,21900.0,0.741,0.037,0.5,0.82,0.803,23.9,84.7,0.023,1.76,1,80.5,Preferred
V0395,Rotating Equipment Spares,China,1.7,18,85400.0,0.631,0.027,6.2,1.206,0.641,23.1,73.5,0.156,0.74,1,72.0,Approved
V0396,Structural Steel,India,7.7,58,31100.0,0.508,0.137,6.7,1.151,0.62,39.5,46.4,0.079,0.0,0,56.9,Approved
V0397,Valves & Actuators,Nigeria,3.0,12,32200.0,0.366,0.226,7.3,1.018,0.249,44.1,36.0,0.178,2.49,0,27.1,High Risk
V0398,Pipes & Fittings,Singapore,0.9,1,215300.0,0.237,0.219,9.1,1.048,0.289,1.9,27.6,0.117,2.73,0,21.9,High Risk
V0399,Instrumentation,United States,3.9,32,21300.0,0.283,0.158,7.5,0.904,0.406,41.4,24.5,0.182,1.26,1,41.0,Watchlist
V0400,Electrical Equipment,Singapore,5.3,43,20700.0,0.639,0.083,2.1,1.106,0.668,13.1,66.8,0.044,1.14,0,75.1,Preferred
V0401,Subsea Hardware,United States,4.9,35,25200.0,0.148,0.214,9.2,0.991,0.364,21.5,30.2,0.165,2.33,0,18.0,High Risk
V0402,Rotating Equipment Spares,India,7.6,25,5400.0,0.681,0.132,3.0,0.939,0.513,23.8,54.5,0.103,0.0,1,67.6,Approved
V0403,Electrical Equipment,China,0.4,1,9000.0,0.101,0.201,7.6,1.153,0.126,46.1,34.5,0.292,3.57,0,16.4,High Risk
V0404,Subsea Hardware,Nigeria,7.3,24,8500.0,0.379,0.143,2.6,0.982,0.712,12.1,69.1,0.161,1.32,1,53.2,Watchlist
V0405,Safety Equipment (PPE),Germany,7.9,62,23900.0,0.633,0.127,4.8,0.959,0.851,37.5,71.0,0.085,1.11,0,68.7,Approved
V0406,Drilling Tools,Italy,2.2,14,11400.0,0.926,0.014,0.2,0.879,0.923,17.2,92.2,0.044,0.0,1,94.9,Preferred
V0407,Safety Equipment (PPE),Germany,0.9,21,15100.0,0.204,0.212,8.7,1.188,0.116,43.0,28.7,0.289,4.23,0,14.4,High Risk
V0408,Pipes & Fittings,China,6.8,39,35600.0,0.845,0.03,7.6,1.173,0.711,6.3,84.3,0.01,0.0,1,84.2,Preferred
V0409,Subsea Hardware,United Kingdom,2.7,7,29100.0,0.692,0.163,7.7,1.08,0.623,16.9,30.5,0.071,1.51,0,59.0,Approved
V0410,Valves & Actuators,China,8.9,53,11600.0,0.73,0.137,7.9,1.1,0.784,38.6,72.9,0.09,0.75,1,72.1,Approved
V0411,Pipes & Fittings,China,10.4,93,7300.0,0.596,0.133,7.6,0.964,0.339,10.8,56.1,0.094,1.89,0,53.3,Watchlist
V0412,Instrumentation,UAE,1.4,11,37100.0,0.738,0.153,9.2,0.872,0.589,38.8,92.9,0.083,2.33,1,60.5,Approved
V0413,Instrumentation,India,1.8,14,26800.0,0.553,0.123,4.5,1.106,0.501,29.4,73.0,0.062,2.35,1,63.1,Approved
V0414,Pipes & Fittings,India,4.5,14,3100.0,0.819,0.071,0.2,0.953,0.873,15.8,89.7,0.125,0.62,1,86.0,Preferred
V0415,Valves & Actuators,Germany,0.3,1,10100.0,0.222,0.179,6.3,0.809,0.346,13.6,42.5,0.069,2.65,1,37.8,Watchlist
V0416,Industrial Chemicals,India,1.0,1,15500.0,0.826,0.155,3.8,0.894,0.514,18.0,79.8,0.059,0.0,1,80.4,Preferred
V0417,Subsea Hardware,Germany,1.4,1,26900.0,0.374,0.133,8.4,1.02,0.455,43.2,18.1,0.201,1.52,1,47.7,Watchlist
V0418,Pipes & Fittings,China,12.8,68,30300.0,0.625,0.104,6.9,0.926,0.67,14.5,18.9,0.121,1.48,0,66.9,Approved
V0419,Instrumentation,China,4.0,23,17200.0,0.152,0.21,12.7,1.276,0.262,45.6,13.3,0.119,2.13,0,15.2,High Risk
V0420,Drilling Tools,UAE,2.3,7,22600.0,0.521,0.103,5.5,1.049,0.673,27.0,61.4,0.032,0.14,1,62.3,Approved
V0421,Subsea Hardware,Germany,2.0,6,14200.0,0.868,0.082,3.4,1.134,0.745,9.3,47.6,0.043,0.0,1,80.0,Preferred
V0422,Industrial Chemicals,China,1.2,1,7300.0,0.466,0.106,3.9,1.043,0.352,41.0,37.3,0.086,0.47,1,59.5,Approved
V0423,Rotating Equipment Spares,Nigeria,2.2,13,10600.0,0.227,0.172,3.9,1.022,0.626,5.3,39.8,0.139,1.59,0,45.6,Watchlist
V0424,Drilling Tools,UAE,1.7,15,13600.0,0.237,0.224,13.6,0.915,0.316,44.2,19.8,0.1,2.76,1,16.7,High Risk
V0425,Safety Equipment (PPE),China,2.9,20,12900.0,0.223,0.168,7.0,1.013,0.532,51.5,31.4,0.171,1.14,1,37.3,Watchlist
V0426,Pipes & Fittings,United States,4.6,39,2400.0,0.102,0.204,9.5,1.082,0.379,61.6,11.7,0.197,3.42,0,14.6,High Risk
V0427,Structural Steel,South Korea,3.1,30,9300.0,0.397,0.221,7.4,0.841,0.183,42.9,59.3,0.171,2.21,0,25.3,High Risk
V0428,Structural Steel,UAE,6.5,24,14100.0,0.774,0.152,3.7,0.908,0.467,24.3,68.6,0.182,2.33,1,65.8,Approved
V0429,Valves & Actuators,China,3.4,24,10400.0,0.728,0.051,0.2,0.886,0.796,10.5,73.2,0.039,0.0,0,86.6,Preferred
V0430,Rotating Equipment Spares,Germany,12.0,108,10700.0,0.929,0.007,0.2,0.922,0.902,1.1,95.4,0.01,0.0,1,93.8,Preferred
V0431,Valves & Actuators,United Kingdom,6.1,34,20700.0,0.33,0.178,4.1,1.099,0.496,41.8,33.9,0.119,2.43,1,43.0,Watchlist
V0432,Rotating Equipment Spares,Germany,4.9,14,5100.0,0.91,0.032,0.9,0.841,0.777,7.4,72.4,0.046,0.0,1,87.9,Preferred
V0433,Structural Steel,United Kingdom,5.3,44,3100.0,0.51,0.129,3.7,1.058,0.4,36.9,41.4,0.104,1.25,0,58.2,Approved
V0434,Pipes & Fittings,Nigeria,2.2,14,9800.0,0.39,0.138,9.3,0.98,0.48,57.0,65.5,0.085,0.65,0,49.6,Watchlist
V0435,Safety Equipment (PPE),United States,3.2,22,26600.0,0.79,0.064,5.3,0.548,0.633,25.4,53.5,0.01,1.03,0,81.1,Preferred
V0436,Pipes & Fittings,China,2.9,18,61000.0,0.469,0.082,6.5,0.924,0.668,13.3,30.8,0.089,0.86,0,60.8,Approved
V0437,Drilling Tools,South Korea,1.9,5,27000.0,0.629,0.089,3.8,1.156,0.595,12.9,52.2,0.133,1.82,0,67.6,Approved
V0438,Subsea Hardware,China,0.8,3,3600.0,0.22,0.165,7.0,0.768,0.485,43.0,41.2,0.145,0.84,1,42.2,Watchlist
V0439,Valves & Actuators,China,4.9,23,10800.0,0.152,0.215,11.4,1.087,0.254,41.9,4.2,0.243,3.15,0,9.2,High Risk
V0440,Electrical Equipment,United Kingdom,6.5,26,16800.0,0.087,0.224,12.7,1.315,0.18,54.4,15.1,0.287,3.81,0,3.9,High Risk
V0441,Subsea Hardware,India,5.2,37,15700.0,0.563,0.092,3.7,0.853,0.541,17.7,80.4,0.129,1.7,1,64.8,Approved
V0442,Electrical Equipment,Germany,3.3,24,21700.0,0.526,0.124,9.6,1.014,0.487,42.5,51.4,0.202,1.22,0,51.3,Watchlist
V0443,Pipes & Fittings,Singapore,14.0,116,5900.0,0.317,0.21,7.9,0.834,0.319,33.5,75.5,0.185,2.27,1,27.4,High Risk
V0444,Safety Equipment (PPE),United Kingdom,2.1,7,14200.0,0.46,0.114,8.0,1.244,0.759,21.1,73.3,0.205,1.76,1,62.4,Approved
V0445,Drilling Tools,United States,4.7,9,19500.0,0.644,0.054,2.2,0.948,0.837,18.0,88.4,0.177,2.12,1,73.3,Approved
V0446,Industrial Chemicals,China,7.9,73,28100.0,0.527,0.128,0.9,0.998,0.648,14.0,92.0,0.159,0.07,1,69.7,Approved
V0447,Electrical Equipment,Nigeria,1.1,7,6500.0,0.341,0.11,8.8,1.236,0.413,59.8,47.1,0.185,1.5,0,47.6,Watchlist
V0448,Subsea Hardware,Singapore,6.2,36,9800.0,0.868,0.028,3.9,1.038,0.754,17.8,81.4,0.055,2.78,1,78.0,Preferred
V0449,Drilling Tools,UAE,12.0,82,1200.0,0.638,0.047,2.4,0.79,0.664,23.5,92.5,0.047,0.0,1,79.9,Preferred
V0450,Instrumentation,Nigeria,3.8,28,7600.0,0.543,0.039,5.5,0.878,0.586,19.1,52.4,0.081,0.0,1,64.9,Approved
